,16,18,23,24,26,28,33,37,38,39,40,41,42,43,108,117,140
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
530,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
620,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0
745,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,18,0,16,0,0,0,0,0
1030,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
1100,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0
1115,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0
1230,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
1415,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
1430,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
1500,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
1655,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
1700,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0
1830,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
1840,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
2230,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
2345,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0

