,5,6,11,14,15,16,18,19,20,21,22,23,24,25,26,27,28,125,140
535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
640,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,42
905,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0
915,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,16,0
1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
1030,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
1100,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
1230,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,14,0,0,0
1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
1500,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
1510,0,0,28,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
1600,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
1715,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
1800,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
1830,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0
1845,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
1900,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
1945,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0
2000,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2030,0,0,0,32,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
2100,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,18
2205,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
2215,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
2250,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2350,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0

