,13,16,19,20,22,25,27,28,29,30,31,32,33,35,36
700,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
730,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
800,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0
830,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
900,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
1000,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
1240,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
1250,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
1400,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0
1500,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
1535,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
1700,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0
1800,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
1805,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1830,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1845,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
1900,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
1905,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
1930,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
1950,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2030,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
2045,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0
2100,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
2120,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2225,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
2500,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
2540,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0

