,6,8,10,15,22,23,24,25,27,33,119,120,138
515,0,0,0,41,0,0,0,0,0,0,0,0,0
610,0,0,0,0,0,0,0,0,0,0,0,0,39
730,0,0,0,0,0,0,0,0,0,0,68,0,0
740,0,0,0,0,0,0,8,0,0,0,0,0,0
800,0,0,11,0,0,0,0,0,0,0,0,0,0
840,0,0,0,0,0,0,0,0,0,0,0,35,0
900,0,0,0,0,0,0,25,0,0,0,0,0,0
1045,0,0,0,0,0,0,0,79,0,0,0,0,0
1050,0,0,0,0,0,0,0,0,0,0,0,11,0
1130,0,0,25,0,0,0,0,0,0,0,0,0,0
1230,0,0,0,0,0,11,0,0,0,0,0,0,0
1300,0,0,0,0,0,0,0,0,16,0,0,0,0
1310,0,0,0,0,0,52,0,0,0,0,0,0,0
1330,8,0,0,0,0,0,0,0,0,0,0,0,0
1400,0,0,25,0,0,0,0,0,0,0,0,0,0
1500,0,0,0,0,0,28,0,0,0,0,0,0,0
1700,0,5,0,0,0,0,0,0,0,0,0,0,0
1855,0,0,0,0,20,0,0,0,0,0,0,0,0
2100,0,10,0,0,0,0,0,0,0,0,0,0,0
2759,0,0,0,0,0,0,0,0,0,35,0,0,0

