,9,24,25,27,28,29,33,34,37,40,102,103,119
600,23,0,0,0,0,0,0,0,0,0,0,0,0
705,0,0,0,0,0,0,0,7,0,0,0,0,0
820,0,0,0,0,0,0,0,48,0,0,0,0,0
1000,0,0,9,0,0,0,0,0,0,0,0,0,0
1100,0,0,0,0,0,0,0,0,0,9,0,0,0
1200,0,0,0,0,0,0,69,0,0,0,0,0,0
1230,0,0,0,0,0,0,0,0,0,10,0,0,0
1400,0,0,0,48,0,0,0,0,0,0,0,0,0
1500,0,0,28,0,0,0,0,0,0,0,0,0,0
1510,0,0,0,0,0,0,0,33,0,0,0,0,0
1545,0,0,0,0,0,0,0,15,0,0,0,0,0
1600,0,0,0,0,0,0,0,0,0,5,0,0,0
1610,0,0,0,0,0,0,0,0,0,17,0,0,0
1645,0,0,0,0,0,0,0,0,0,0,7,0,0
1700,0,0,0,0,41,0,0,0,0,0,0,0,0
1730,0,0,0,0,0,0,0,0,0,0,0,0,25
1800,0,56,0,0,0,0,0,0,0,0,0,0,0
1900,0,0,0,0,0,26,0,0,0,0,0,0,0
2100,0,17,0,0,0,0,0,0,0,0,0,0,0
2245,0,0,0,0,0,0,0,0,25,0,0,0,0
2300,0,0,0,0,0,0,0,0,31,0,0,0,0
2400,0,0,0,0,0,0,0,0,0,0,0,8,0

