,5,19,20,22,29,30,31,35,36,37,38,39,42
800,0,0,0,0,0,0,0,0,0,35,0,0,32
830,26,0,0,0,0,0,0,0,0,0,0,0,0
900,0,0,54,0,0,0,0,0,0,0,0,0,0
915,0,0,0,0,0,0,0,0,0,0,0,17,0
930,0,0,0,0,24,0,0,0,0,0,0,0,0
1000,0,48,0,0,0,0,0,0,0,0,0,0,0
1010,0,0,0,0,0,0,0,56,0,0,0,0,0
1030,0,0,0,0,0,0,0,0,52,0,0,0,0
1130,0,0,0,0,0,0,0,0,40,0,8,0,0
1300,0,0,27,0,0,0,0,0,0,0,0,0,0
1315,0,0,0,0,0,0,0,0,0,0,8,0,0
1400,0,0,0,0,0,0,0,0,0,0,34,0,0
1700,0,0,0,0,0,0,16,0,34,0,0,0,0
1730,0,0,0,38,0,0,0,0,0,0,0,0,0
1840,0,0,0,0,0,7,0,0,0,0,0,0,0
2100,0,0,0,0,30,0,0,0,0,0,0,0,0
2230,0,0,0,0,0,0,0,0,0,0,0,0,32

