,4,5,9,11,12,13,17,19,20,21,22,27,28,129,136,137,142
545,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
800,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
815,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
830,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
840,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
1130,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1230,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
1410,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
1520,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
1530,21,0,10,0,0,0,0,0,0,26,0,0,0,0,0,0,0
1600,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
1630,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,9
1815,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
2030,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
2145,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0
2215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0

