,1,2,7,9,10,12,15,18,19,26,116,117,118,133
530,0,0,0,0,19,0,25,0,0,0,0,0,0,0
730,0,0,0,0,0,0,10,0,0,0,0,0,0,0
1000,0,0,0,11,0,0,0,0,0,0,0,0,0,0
1110,0,0,0,0,0,0,0,0,0,9,0,0,0,0
1145,0,0,0,0,0,0,0,0,0,0,26,0,0,0
1230,0,0,0,0,0,33,0,0,0,0,0,0,0,0
1400,0,0,0,0,0,0,0,0,5,0,0,0,0,0
1435,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1500,0,0,0,0,0,0,0,0,0,0,0,8,0,0
1530,26,0,9,0,0,0,0,0,0,0,0,0,0,22
1600,26,0,65,0,0,0,0,0,0,0,34,0,0,0
1700,0,0,0,0,0,52,0,31,0,0,0,0,0,0
1720,0,0,0,0,0,0,0,0,0,0,0,0,33,0
1900,0,37,0,0,0,0,0,0,0,0,0,0,0,0

