,3,4,5,6,14,19,20,21,27,28,30,140
540,0,0,0,0,29,0,0,0,0,0,0,0
635,0,0,0,0,0,0,0,0,0,0,0,16
720,0,0,0,0,0,0,0,0,0,0,0,6
730,0,0,0,0,0,0,0,0,29,0,0,0
800,0,0,0,0,0,0,0,0,0,14,0,0
810,0,0,0,0,0,0,0,0,0,13,0,0
815,0,0,13,0,0,0,0,0,0,0,0,0
830,0,0,0,32,25,0,0,0,0,0,0,0
1030,0,0,0,0,0,0,0,0,0,0,0,25
1045,0,0,0,0,0,0,0,0,0,11,0,0
1105,0,0,0,0,0,0,0,0,0,20,0,0
1130,18,0,14,0,0,0,32,0,0,0,0,0
1345,0,0,0,0,0,0,0,0,0,0,22,0
1500,0,0,0,11,0,0,0,0,0,0,0,11
1530,0,0,0,0,0,0,0,25,0,0,0,0
1615,0,0,0,0,0,0,26,0,0,0,0,0
1630,0,0,0,31,0,0,0,0,0,0,0,0
1640,0,0,0,29,0,0,0,0,0,0,0,0
1645,0,0,0,0,0,0,0,0,0,26,0,0
1700,0,0,22,0,0,0,0,0,0,0,0,0
1800,0,0,69,31,0,0,0,0,0,0,0,0
1830,0,0,0,21,0,0,0,0,0,0,0,0
1900,0,0,0,21,0,0,0,0,25,16,0,0
1930,0,0,0,0,0,0,0,0,0,6,0,0
2015,0,0,0,0,0,25,0,0,0,0,0,0
2100,0,0,0,0,0,0,0,0,0,16,0,0
2120,0,0,0,0,4,0,0,0,0,0,0,0
2125,0,0,0,0,4,0,0,0,0,0,0,0
2230,0,0,0,0,0,0,0,0,0,14,0,0
2235,0,0,0,29,0,0,0,0,0,0,0,0
2330,0,24,0,0,0,0,0,0,0,0,0,0
2515,0,0,0,0,5,0,0,0,0,0,0,0

