,4,14,19,20,22,27,28,29,30,31,32,36
440,0,0,0,0,0,0,0,0,73,0,0,0
530,0,0,0,0,0,0,7,0,0,0,0,0
630,0,0,0,0,0,0,0,31,0,0,0,0
640,0,0,0,13,0,0,0,0,0,0,0,0
715,0,0,0,0,0,0,26,0,0,0,0,0
720,0,0,0,0,0,26,0,0,0,0,0,0
730,0,0,0,0,0,0,9,0,0,0,0,0
745,0,0,0,10,0,0,0,0,0,0,0,0
800,0,0,0,23,0,27,0,0,0,0,0,0
830,0,0,0,0,0,8,0,0,0,0,0,0
835,0,0,0,0,0,0,0,0,23,0,0,0
845,0,0,0,0,0,0,6,0,0,0,0,0
900,0,0,0,38,0,0,19,0,0,0,0,0
915,0,0,0,0,0,0,23,0,0,0,0,0
1130,0,0,0,0,0,0,38,0,0,13,0,0
1300,0,0,0,0,0,0,16,0,0,8,0,0
1310,15,0,0,0,0,0,0,0,0,0,0,0
1330,0,0,0,0,0,0,0,0,0,0,14,0
1550,0,0,0,0,10,0,0,0,0,0,0,0
1630,0,0,0,0,0,0,8,0,0,0,0,0
1645,0,0,0,0,0,0,0,0,0,0,11,0
1805,0,0,0,0,0,15,0,0,0,0,0,0
1930,0,0,0,0,19,0,0,0,0,0,8,0
1945,0,0,0,0,0,9,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,8,0
2055,0,0,0,0,0,0,0,0,0,0,47,0
2100,0,34,0,0,0,0,0,0,0,0,0,0
2130,0,0,11,0,0,0,0,0,0,0,0,0
2145,0,0,0,0,0,0,17,0,0,0,0,0
2200,0,0,0,0,0,8,0,0,0,0,74,0
2230,0,0,0,0,0,0,0,0,26,0,0,0
2325,0,0,0,0,0,0,21,0,0,0,0,0
2430,0,0,0,0,0,0,0,0,0,0,42,0
2500,0,0,0,0,0,0,0,0,0,0,0,44
2600,0,0,0,0,0,0,4,0,0,0,0,0

