,6,7,14,15,17,18,19,20,21,27,28,30,37,140
510,0,0,0,0,0,66,0,0,0,0,0,0,0,0
645,0,0,0,0,0,0,0,0,0,0,0,0,0,5
700,0,0,0,0,0,0,0,6,0,0,0,0,0,0
805,0,0,0,0,0,0,0,0,0,0,5,0,0,0
820,0,0,0,0,0,0,0,0,0,0,32,0,0,0
830,0,31,20,0,0,0,0,0,0,0,0,0,0,0
915,0,0,0,0,0,0,0,0,0,0,19,0,0,0
1010,0,0,0,0,0,0,0,0,0,0,38,0,0,0
1030,0,0,0,0,0,0,0,12,0,0,0,0,0,0
1100,0,0,16,0,0,0,0,0,0,0,0,0,0,0
1130,0,0,0,0,0,5,0,0,0,0,0,0,0,0
1145,0,0,0,0,0,0,0,15,0,0,0,0,0,0
1200,0,0,0,0,0,5,0,0,0,0,0,0,0,0
1230,0,0,0,0,0,0,0,0,0,93,0,0,0,0
1330,0,0,0,0,0,0,0,5,0,0,0,0,0,0
1400,0,0,0,0,6,20,0,0,0,0,0,0,0,0
1430,0,0,0,0,0,0,0,22,0,0,0,0,0,0
1500,0,0,0,0,0,20,0,0,0,0,0,0,0,0
1600,0,0,0,0,0,0,0,115,0,0,0,0,0,0
1630,0,0,0,0,0,0,0,41,0,0,0,0,0,0
1700,0,0,0,0,0,0,11,0,0,0,0,0,0,0
1710,0,0,0,0,0,66,0,0,0,0,0,0,0,0
1730,0,0,0,0,0,0,0,9,0,39,0,0,0,0
1745,0,0,0,0,0,0,5,0,0,0,0,0,0,0
1800,0,0,0,0,0,0,0,0,0,51,0,0,0,0
1830,0,0,0,0,0,9,5,53,0,0,0,0,0,0
1850,0,0,0,0,0,0,0,90,0,0,0,0,0,0
1900,0,0,0,0,0,0,0,38,0,0,35,0,0,0
1910,0,0,0,0,0,63,0,0,0,0,0,0,0,0
1930,0,0,0,0,0,0,34,0,0,0,0,0,0,0
2100,0,0,0,23,0,0,0,0,16,0,12,0,0,0
2155,0,0,0,0,0,0,0,0,0,31,0,0,0,0
2200,0,0,0,0,0,0,63,0,0,0,0,0,0,0
2215,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2230,0,0,0,0,0,9,0,37,0,0,0,0,0,0
2245,0,0,0,0,0,0,0,30,0,0,0,0,0,0
2300,0,0,0,0,0,0,0,22,0,0,0,0,0,0
2430,0,0,0,0,0,0,0,44,0,0,0,0,0,0
2500,0,0,0,0,0,0,0,10,0,0,0,0,0,0
2515,0,0,0,0,0,0,0,47,0,0,22,0,0,0
2530,0,0,0,0,0,0,23,0,0,0,0,0,0,0
2540,0,0,0,0,0,0,0,0,0,21,0,0,0,0
2545,0,0,31,0,0,0,0,40,0,0,0,0,0,0
2600,0,0,0,0,0,0,0,31,0,0,0,0,0,0
2605,0,0,0,0,0,0,19,0,0,0,0,0,0,0
2615,0,0,0,0,0,0,0,0,0,21,0,0,0,0
2620,0,0,0,0,0,0,0,0,0,0,0,49,0,0
2635,0,0,0,0,0,0,0,62,0,0,0,0,0,0
2645,0,0,0,0,0,0,0,8,0,0,0,0,0,0
2700,0,0,0,0,0,0,0,0,0,0,0,0,30,0

