,16,20,23,27,28,30,31,33,34,35,36,37,38,39,40,41,42,43,44,64,108
500,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
740,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
900,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
930,0,0,0,26,0,0,0,0,0,41,0,0,55,0,0,0,0,0,0,0,0
1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0
1120,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0
1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0
1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
1245,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
1430,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
1530,0,0,0,0,0,0,0,0,0,52,35,0,0,0,0,0,0,0,0,0,21
1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0
1600,0,0,0,0,17,0,0,0,0,10,0,0,0,14,0,0,0,0,0,0,0
1620,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
1650,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
1830,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,0,0,0,0,0,0,0,0,0,17,0,56,0,0,0,0,0,0,0,0,0
1915,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,0,18,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0
2340,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2700,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0

