,19,20,22,23,24,25,26,27,28,31,33,34,37,38,41,43
715,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
800,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
815,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
830,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
900,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
1000,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
1030,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
1120,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1130,0,0,0,0,0,26,0,0,26,0,0,0,0,0,0,0
1235,0,0,0,0,0,0,0,4,0,0,33,0,0,0,0,0
1335,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
1400,0,0,0,0,17,0,8,0,0,0,0,17,0,0,0,0
1430,0,0,0,0,0,0,0,0,0,20,0,0,12,0,0,0
1500,0,0,0,0,0,0,0,0,0,0,48,0,0,0,20,0
1510,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
1545,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
1615,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
1630,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,26
1640,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
1650,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0
1800,0,16,0,17,0,7,0,0,0,0,0,0,0,0,0,0
2000,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0

