,8,15,19,20,26,27,34,35,36,37,38,40,41,42,43,104,108,109
600,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
630,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
705,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,46
730,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0
805,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0
920,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
940,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0
1030,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
1100,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
1105,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
1220,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0
1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
1530,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1535,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600,0,0,0,0,0,0,31,0,34,27,0,0,0,0,0,0,44,0
1700,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0
1730,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
1800,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0
1825,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
1845,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
1900,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2100,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0
2110,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
2130,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2145,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0

