,20,27,34,35,36,37,38,43,119
430,0,29,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,22
600,17,0,0,0,0,0,0,0,0
830,0,0,0,8,0,0,0,0,0
915,0,0,0,4,0,0,0,0,0
1005,0,0,0,0,0,0,39,0,0
1130,0,0,0,25,0,0,0,0,0
1155,0,35,0,0,0,0,0,0,0
1300,0,0,0,25,0,0,0,0,0
1345,0,0,0,0,0,0,0,31,0
1400,0,0,0,0,56,0,0,0,0
1500,0,0,0,0,0,28,13,5,0
1600,0,0,19,76,0,0,0,0,0
1605,0,0,0,0,0,0,46,0,0
1615,0,0,0,0,0,76,0,0,0
1755,0,0,0,46,0,0,0,0,0
1800,0,0,0,17,0,0,0,0,0
1830,0,0,0,46,0,0,0,0,0
1940,0,63,0,0,0,0,0,0,0
2145,0,0,0,35,0,0,0,0,0

