,7,8,14,20,21,22,25,26,27,28,29,30,31,32,34,38,40,44,109,140
600,0,0,0,14,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
700,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
800,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,10,0,0
810,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
830,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
855,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
940,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
945,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
1010,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
1050,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,0,0,9,0,0,17,0,0,0,0,0,0,0,34,0,0,0,0,0,0
1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
1210,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
1415,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1430,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1500,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
1515,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
1710,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
1800,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0
1805,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0
1820,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
1830,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0
1840,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,0,32,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
1915,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
2030,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
2200,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2335,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

