,5,8,10,19,20,21,22,23,24,32,33,34,102,108,120
800,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
945,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
1015,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0
1130,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0
1145,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
1230,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
1300,0,0,25,0,0,0,0,0,0,0,0,0,0,0,24
1320,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
1325,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
1330,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
1430,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
1450,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
1500,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
1505,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
1510,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
1530,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
1600,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
1610,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
1635,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
1720,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
1730,0,50,0,15,0,0,0,0,0,0,0,0,0,0,0
1745,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,26,0,0,0,0,0,65,0,0
2200,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
2330,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0
2400,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
2500,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0

